Region,Name,x,y
Lazio,Colosseo,41.890266,12.492258
Lazio,Altare della Pace,41.895229,12.482793
Lazio,Pantheon,41.899269,12.476728
Lazio,Castel Sant'Angelo,41.903295,12.466673
Lazio,Ponte Sant'Angelo,41.901878,12.466450
Lazio,Piramide Cestia,41.876401,12.481116
Lazio,Terme di Caracalla,41.878886,12.492568
Lazio,Circo Massimo,41.886189,12.484608
Lazio,Foro Romano,41.892469,12.485092
Lazio,Fori Di Augusto,41.894326,12.487027
Lazio,Mercati di Traiano,41.895453,12.485908
Lazio,Tempio di Giove,41.892377,12.482344
Lazio,Porta Pia,41.909133,12.500948
Lazio,Piazza Navona,41.898740,12.473061
Lazio,San Pietro in Vincoli,41.893807,12.493049
Lazio,Palazzo della Sapienza,41.898174,12.474091
Lazio,Curia di Pompei,41.895324,12.475024
Lazio,Tempio di Adriano,41.899726,12.479380
Lazio,Arco di Claudio,41.899295,12.481108
Milano,Duomo,45.464211,9.187980
